
Iterations = 5005:105000
Thinning interval = 5 
Number of chains = 1 
Sample size per chain = 20000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

            Mean      SD  Naive SE Time-series SE
r[157]   0.42877  0.48944  0.52333  0.5591  0.631989
r[158]   0.44655  0.51060  0.54745  0.5850  0.665343
r[159]   0.37934  0.43231  0.46238  0.4938  0.557985
r[160]   0.40570  0.46287  0.49580  0.5299  0.599635
r[161]   0.40405  0.46193  0.49501  0.5292  0.598938
r[162]   0.39863  0.45516  0.48708  0.5204  0.588502
r[163]   0.38305  0.43757  0.46813  0.5012  0.567146
r[164]   0.36649  0.41672  0.44577  0.4758  0.537327
r[165]   0.38767  0.44325  0.47344  0.5070  0.573804
r[166]   0.36800  0.41861  0.44674  0.4770  0.540110
r[167]   0.38897  0.44194  0.47258  0.5050  0.570382
r[168]   0.35597  0.40533  0.43381  0.4635  0.524045
r[169]   0.41177  0.47098  0.50417  0.5387  0.609160
r[170]   0.38324  0.43633  0.46657  0.4982  0.562606
r[171]   0.41734  0.47624  0.50895  0.5447  0.615688
r[172]   0.38311  0.43692  0.46793  0.4996  0.566538
r[173]   0.37553  0.42669  0.45661  0.4878  0.552583
r[174]   0.37904  0.43160  0.46157  0.4923  0.556990
r[175]   0.38361  0.43727  0.46713  0.4997  0.566351
r[176]   0.40877  0.46837  0.50058  0.5358  0.607858
r[177]   0.41032  0.46839  0.50068  0.5360  0.605934
r[178]   0.42670  0.48738  0.52181  0.5582  0.631798
r[179]   0.42374  0.48548  0.52014  0.5561  0.631062
r[180]   0.42498  0.48526  0.51961  0.5555  0.629337
r[181]   0.41646  0.47467  0.50760  0.5426  0.615845
r[182]   0.44716  0.51178  0.54853  0.5877  0.665093
r[183]   0.44127  0.50490  0.54055  0.5772  0.656928
r[184]   0.37478  0.42680  0.45648  0.4873  0.550730
r[185]   0.40329  0.45933  0.49090  0.5244  0.595838
r[186]   0.46464  0.53166  0.56951  0.6092  0.691590
r[187]   0.44646  0.51022  0.54654  0.5847  0.663457
r[188]   0.41903  0.47818  0.51191  0.5472  0.620312
r[189]   0.44906  0.51358  0.54980  0.5871  0.664199
r[190]   0.46076  0.52562  0.56395  0.6034  0.682607
r[191]   0.40262  0.46022  0.49274  0.5261  0.596802
 [ reached getOption("max.print") -- omitted 113 rows ]


Iterations = 5005:105000
Thinning interval = 5 
Number of chains = 1 
Sample size per chain = 20000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

            Mean      SD  Naive SE Time-series SE
beta[1]  1.67095 0.04434 0.0003135      0.0040431
beta[2]  1.49468 0.03111 0.0002200      0.0016514
beta[3] -0.53253 0.03307 0.0002338      0.0018179
beta[4] -0.20705 0.03486 0.0002465      0.0019398
beta[5]  2.41744 0.05791 0.0004095      0.0054790
beta[6] -0.02462 0.01429 0.0001010      0.0005357
beta[7] -0.85191 0.03867 0.0002734      0.0032378
beta[8]  1.14714 0.04703 0.0003325      0.0038997
beta[9]  0.18976 0.01318 0.0000932      0.0002692
r[1]     0.30813 0.03010 0.0002128      0.0002191
r[2]     0.32286 0.03159 0.0002234      0.0002234
r[3]     0.32142 0.03141 0.0002221      0.0002221
r[4]     0.31460 0.03068 0.0002170      0.0002200
